Data,RF,Platt,ISO,Rank,CRF,VA,Beta,Elkan,tlr
spambase,0.9841072000630062,0.9841072000630062,0.983725625680188,0.9824796083549024,0.9841072000630062,0.9839268271194596,0.9841072000630062,0.9841072000630062,0.9781681181252948
climate,0.9023529925530936,0.9023529925530936,0.8740671261754395,0.8553045735178676,0.9023529925530936,0.8730994201675456,0.9023529925530936,0.9023529925530936,0.6423959157918889
QSAR,0.918555455116104,0.918555455116104,0.9152618232091944,0.9052159318378012,0.918555455116104,0.9148336910285106,0.918555455116104,0.918555455116104,0.9113505086502702
bank,0.9991091816749916,0.9991091816749916,0.9943501625624606,0.9906324118475768,0.9991091816749916,0.9950012251821708,0.9979310207554516,0.9991091816749916,0.9993171858747616
climate,0.9023529925530936,0.9023529925530936,0.8740671261754395,0.8553045735178676,0.9023529925530936,0.8730994201675456,0.9023529925530936,0.9023529925530936,0.6423959157918889
parkinsons,0.9194495001045612,0.9194495001045612,0.8593644589290592,0.8836372841878577,0.9194495001045612,0.8558369592653307,0.9194495001045612,0.9194495001045612,0.8732950926031815
vertebral,0.9256102733028962,0.9256102733028962,0.8977285495585882,0.8976494159346137,0.9256102733028962,0.909993619979316,0.9256102733028962,0.9256102733028962,0.9213289933708207
ionosphere,0.9780831787212227,0.9780831787212227,0.9722258186771698,0.9459974257342956,0.9780831787212227,0.973870416035066,0.9780831787212227,0.9780831787212227,0.974483542723793
diabetes,0.8357245070812581,0.8357245070812581,0.8230311083381782,0.8288304935149224,0.8357245070812581,0.823652713037163,0.8357245070812581,0.8357245070812581,0.8314319088075143
breast,0.987819832747667,0.987819832747667,0.9736390815788086,0.9730425088111476,0.987819832747667,0.9711065877402918,0.987819832747667,0.987819832747667,0.9870967393244844
blod,0.7236997432080992,0.7236997432080992,0.7061524088581972,0.716482801117312,0.7236997432080992,0.7126878297601964,0.7236997432080992,0.7236997432080992,0.6275995793807813
Mean,0.9160786233750904,0.9160786233750904,0.8976012081584291,0.894052457125106,0.9160786233750904,0.8988280644984179,0.9159715178369503,0.9160786233750904,0.8535330454949709
Rank,3.0454545454545454,3.0454545454545454,7.363636363636363,7.909090909090909,3.0454545454545454,7.363636363636363,3.272727272727273,3.0454545454545454,6.909090909090909
